image_filename,main label,concurrent label
201911/30/20191130_070400_000,NO ACTIVITY,
201911/30/20191130_073601_000,driving,
201911/30/20191130_073631_000,driving,
201911/30/20191130_073648_000,driving,
201911/30/20191130_073705_000,driving,
201911/30/20191130_073722_000,driving,
201911/30/20191130_073739_000,driving,
201911/30/20191130_073756_000,driving,
201911/30/20191130_073813_000,driving,
201911/30/20191130_073830_000,driving,
201911/30/20191130_073847_000,driving,
201911/30/20191130_073904_000,driving,
201911/30/20191130_073921_000,driving,
201911/30/20191130_073938_000,driving,
201911/30/20191130_073955_000,driving,
201911/30/20191130_074012_000,driving,
201911/30/20191130_074029_000,driving,
201911/30/20191130_074046_000,walking indoor,
201911/30/20191130_074103_000,walking outdoor,
201911/30/20191130_074120_000,walking outdoor,
201911/30/20191130_074137_000,walking outdoor,
201911/30/20191130_074154_000,walking outdoor,
201911/30/20191130_074211_000,NO ACTIVITY,
201911/30/20191130_074245_000,NO ACTIVITY,
201911/30/20191130_074302_000,walking indoor,
201911/30/20191130_074319_000,walking outdoor,
201911/30/20191130_074336_000,walking indoor,
201911/30/20191130_074353_000,walking indoor,
201911/30/20191130_074427_000,walking outdoor,
201911/30/20191130_074444_000,doing office work,
201911/30/20191130_074501_000,doing office work,
201911/30/20191130_074518_000,using computer,
201911/30/20191130_074535_000,doing office work,
201911/30/20191130_074552_000,doing office work,
201911/30/20191130_074609_000,doing office work,
201911/30/20191130_074626_000,walking indoor,doing office work
201911/30/20191130_074643_000,doing office work,
201911/30/20191130_074700_000,doing office work,
201911/30/20191130_074717_000,NO ACTIVITY,
201911/30/20191130_074734_000,walking indoor,
201911/30/20191130_074751_000,walking indoor,
201911/30/20191130_074808_000,walking indoor,
201911/30/20191130_074825_000,walking indoor,
201911/30/20191130_074842_000,walking indoor,
201911/30/20191130_074859_000,having a drink,
201911/30/20191130_074916_000,walking indoor,
201911/30/20191130_074933_000,walking indoor,
201911/30/20191130_074950_000,having a drink,
201911/30/20191130_075007_000,walking indoor,
201911/30/20191130_075024_000,walking indoor,
201911/30/20191130_075041_000,having a drink,
201911/30/20191130_075058_000,having a drink,
201911/30/20191130_075115_000,having a drink,
